months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_annual_premium,insured_education_level,insured_sex,insured_occupation,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,property_damage,police_report_available,fraud_reported
328,1000,0,53300,0,5,1,1,2,6510,13020,52080,1406.91,MD,MALE,craft-repair,husband,Single Vehicle Collision,Side Collision,Major Damage,Police,YES,YES,Y
228,2000,5000000,0,0,8,1,0,0,780,780,3510,1197.22,MD,MALE,machine-op-inspct,other-relative,Vehicle Theft,?,Minor Damage,Police,?,?,Y
134,2000,5000000,35100,0,7,3,2,3,7700,3850,23100,1413.14,PhD,FEMALE,sales,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NO,NO,N
256,2000,6000000,48900,-62400,5,1,1,2,6340,6340,50720,1415.74,PhD,FEMALE,armed-forces,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Police,?,NO,Y
228,1000,6000000,66000,-46000,20,1,0,1,1300,650,4550,1583.91,Associate,MALE,sales,unmarried,Vehicle Theft,?,Minor Damage,None,NO,NO,N
256,1000,0,0,0,19,3,0,2,6410,6410,51280,1351.1,PhD,FEMALE,tech-support,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NO,NO,Y
137,1000,0,0,-77000,0,3,0,0,21450,7150,50050,1333.35,PhD,MALE,prof-specialty,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Police,?,?,N
165,1000,0,0,0,23,3,2,2,9380,9380,32830,1137.03,Associate,MALE,tech-support,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Police,?,YES,N
27,500,0,0,0,21,1,1,1,2770,2770,22160,1442.99,PhD,FEMALE,other-service,own-child,Single Vehicle Collision,Front Collision,Total Loss,Police,NO,YES,N
212,500,0,0,-39300,14,1,2,1,4700,4700,32900,1315.68,PhD,MALE,priv-house-serv,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,NO,?,N
235,500,4000000,38400,0,22,1,2,2,7910,15820,63280,1253.12,Masters,FEMALE,exec-managerial,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Police,YES,?,N
447,2000,0,0,-51000,21,3,1,2,17680,17680,79560,1137.16,High School,FEMALE,exec-managerial,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Fire,YES,YES,N
60,500,3000000,0,0,9,1,1,0,4710,9420,42390,1215.36,MD,MALE,protective-serv,wife,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,YES,NO,N
121,1000,0,52800,-32800,5,1,1,1,1120,1120,5040,936.61,MD,FEMALE,armed-forces,wife,Parked Car,?,Minor Damage,None,NO,NO,N
180,2000,0,41300,-55500,12,1,0,2,4200,8400,33600,1301.13,College,FEMALE,machine-op-inspct,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,NO,YES,Y
473,2000,0,55700,0,12,4,0,0,10520,10520,42080,1131.4,MD,FEMALE,transport-moving,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Other,YES,NO,Y
70,1000,5000000,63600,0,0,3,1,2,5790,5790,40530,1199.44,College,MALE,machine-op-inspct,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,?,YES,N
140,500,6000000,53500,0,9,1,0,2,14160,7080,56640,708.64,High School,MALE,machine-op-inspct,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Police,NO,YES,N
160,500,0,45500,-37800,19,1,1,0,6630,13260,53040,1374.22,MD,FEMALE,craft-repair,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,YES,NO,N
196,2000,0,57000,-27300,8,3,2,0,6040,6040,48320,1475.73,High School,FEMALE,handlers-cleaners,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,?,NO,N
460,1000,4000000,0,0,20,3,1,0,0,5240,41920,1187.96,JD,MALE,other-service,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NO,?,N
217,2000,0,46700,0,15,3,1,2,0,4730,33110,875.15,Associate,FEMALE,machine-op-inspct,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,?,?,N
370,2000,0,72700,-68200,20,3,0,0,17880,5960,47680,972.18,High School,MALE,prof-specialty,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NO,YES,Y
413,2000,0,0,-31000,15,1,2,2,8180,16360,73620,1268.79,MD,MALE,priv-house-serv,own-child,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,?,?,Y
237,1000,0,0,-53500,6,1,1,3,7080,14160,56640,883.31,College,MALE,craft-repair,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NO,NO,N
8,2000,0,0,0,16,3,1,3,16500,11000,44000,1266.92,Masters,MALE,sales,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NO,YES,Y
257,2000,0,0,-29200,4,1,1,3,1640,820,6560,1322.1,High School,MALE,prof-specialty,own-child,Parked Car,?,Minor Damage,Police,YES,YES,N
202,500,3000000,31000,-30200,5,1,2,1,1040,520,4160,848.07,JD,MALE,exec-managerial,not-in-family,Vehicle Theft,?,Minor Damage,None,YES,?,Y
224,2000,0,0,-55600,21,1,1,0,7760,15520,46560,1291.7,JD,FEMALE,sales,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,NO,YES,N
241,2000,0,0,0,5,1,2,2,14100,14100,63450,1104.5,PhD,FEMALE,machine-op-inspct,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NO,NO,N
64,1000,0,53200,0,22,4,0,0,12600,12600,50400,954.16,Masters,MALE,prof-specialty,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NO,?,N
166,2000,8000000,27500,0,10,3,2,2,7460,7460,52220,1337.28,JD,MALE,craft-repair,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,NO,?,Y
155,1000,0,81100,0,16,3,2,3,3310,3310,23170,1088.34,Associate,FEMALE,adm-clerical,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,YES,NO,N
114,1000,0,51400,-64000,1,3,1,2,14020,14020,49070,1558.29,High School,MALE,farming-fishing,wife,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NO,?,N
149,500,0,0,0,17,1,0,1,10800,5400,48600,1415.68,PhD,MALE,prof-specialty,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,YES,YES,N
147,1000,6000000,53300,-49200,15,1,2,0,10620,5310,37170,1334.15,High School,MALE,craft-repair,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,YES,YES,Y
